ID;DatenTypID;DatumZeitID;DatumID;MonatID;DatumTextkurz;DatumKurz;WochentagID;StundenID;Preis;PreisBrutto;PreisMin;PreisMax;PreisMean;PreisMinDauer;PreisMinWartezeit;PreisMinBrutto;PreisMaxBrutto;PreisMeanBrutto;SzenarioTag;SzenarioWoche;;;;;
;;2025120100;;;;;;;0,09296;0,1214961;;;817;Quarter-hourly average price final;;;100,41;2025-12-01T00:00:00+01:00;;;92.96;92,96;;;
;;2025120101;;;;;;;0,08153;0,1125058;;;817;Quarter-hourly average price final;;;92.98;2025-12-01T01:00:00+01:00;;;81.53;81,53;;;
;;2025120102;;;;;;;0,071;0,1093719;;;817;Quarter-hourly average price final;;;90.39;2025-12-01T02:00:00+01:00;;;71;71,00;;;
;;2025120103;;;;;;;0,0699;0,1105819;;;817;Quarter-hourly average price final;;;91.39;2025-12-01T03:00:00+01:00;;;69.9;69,9;;;
;;2025120104;;;;;;;0,075;0,1160753;;;817;Quarter-hourly average price final;;;95.93;2025-12-01T04:00:00+01:00;;;75;75,00;;;
;;2025120105;;;;;;;0,08263;0,1261546;;;817;Quarter-hourly average price final;;;104.26;2025-12-01T05:00:00+01:00;;;82.63;82,63;;;
;;2025120106;;;;;;;0,09507;0,1323377;;;817;Quarter-hourly average price final;;;109.37;2025-12-01T06:00:00+01:00;;;95.07;95,07;;;
;;2025120107;;;;;;;0,10082;0,1435544;;;817;Quarter-hourly average price final;;;118.64;2025-12-01T07:00:00+01:00;;;100.82;100,82;;;
;;2025120108;;;;;;;0,12501;0,1510564;;;817;Quarter-hourly average price final;;;124.84;2025-12-01T08:00:00+01:00;;;125.01;125,01;;;
;;2025120109;;;;;;;0,11804;0,1322893;;;817;Quarter-hourly average price final;;;109.33;2025-12-01T09:00:00+01:00;;;118.04;118,04;;;
;;2025120110;;;;;;;0,088;0,1122517;;;817;Quarter-hourly average price final;;;92.77;2025-12-01T10:00:00+01:00;;;88;88,00;;;
;;2025120111;;;;;;;0,07;0,1026564;;;817;Quarter-hourly average price final;;;84.84;2025-12-01T11:00:00+01:00;;;70;70,00;;;
;;2025120112;;;;;;;0,07182;0,1048344;;;817;Quarter-hourly average price final;;;86.64;2025-12-01T12:00:00+01:00;;;71.82;71,82;;;
;;2025120113;;;;;;;0,06972;0,1035881;;;817;Quarter-hourly average price final;;;85.61;2025-12-01T13:00:00+01:00;;;69.72;69,72;;;
;;2025120114;;;;;;;0,06972;0,1028379;;;817;Quarter-hourly average price final;;;84.99;2025-12-01T14:00:00+01:00;;;69.72;69,72;;;
;;2025120115;;;;;;;0,07037;0,106238;;;817;Quarter-hourly average price final;;;87.8;2025-12-01T15:00:00+01:00;;;70.37;70,37;;;
;;2025120116;;;;;;;0,07035;0,1184227;;;817;Quarter-hourly average price final;;;97.87;2025-12-01T16:00:00+01:00;;;70.35;70,35;;;
;;2025120117;;;;;;;0,08744;0,1294216;;;817;Quarter-hourly average price final;;;106.96;2025-12-01T17:00:00+01:00;;;87.44;87,44;;;
;;2025120118;;;;;;;0,10208;0,1424533;;;817;Quarter-hourly average price final;;;117.73;2025-12-01T18:00:00+01:00;;;102.08;102,08;;;
;;2025120119;;;;;;;0,12;0,1618617;;;817;Quarter-hourly average price final;;;133.77;2025-12-01T19:00:00+01:00;;;120;120,00;;;
;;2025120120;;;;;;;0,13035;0,1775554;;;817;Quarter-hourly average price final;;;146.74;2025-12-01T20:00:00+01:00;;;130.35;130,35;;;
;;2025120121;;;;;;;0,15968;0,1792373;;;817;Quarter-hourly average price final;;;148.13;2025-12-01T21:00:00+01:00;;;159.68;159,68;;;
;;2025120122;;;;;;;0,12382;0,1455509;;;817;Quarter-hourly average price final;;;120.29;2025-12-01T22:00:00+01:00;;;123.82;123,82;;;
;;2025120123;;;;;;;0,10058;0,1214719;;;817;Quarter-hourly average price final;;;100.39;2025-12-01T23:00:00+01:00;;;100.58;100,58;;;
;;2025120200;;;;;;;0,08254;0,1056814;;;817;Quarter-hourly average price final;;;87.34;2025-12-02T00:00:00+01:00;;;82.54;82,54;;;
;;2025120201;;;;;;;0,08035;0,1044351;;;817;Quarter-hourly average price final;;;86.31;2025-12-02T01:00:00+01:00;;;80.35;80,35;;;
;;2025120202;;;;;;;0,075;0,1008293;;;817;Quarter-hourly average price final;;;83.33;2025-12-02T02:00:00+01:00;;;75;75,00;;;
;;2025120203;;;;;;;0,07;0,0982641;;;817;Quarter-hourly average price final;;;81.21;2025-12-02T03:00:00+01:00;;;70;70,00;;;
;;2025120204;;;;;;;0,06791;0,0974171;;;817;Quarter-hourly average price final;;;80.51;2025-12-02T04:00:00+01:00;;;67.91;67,91;;;
;;2025120205;;;;;;;0,06737;0,0986876;;;817;Quarter-hourly average price final;;;81.56;2025-12-02T05:00:00+01:00;;;67.37;67,37;;;
;;2025120206;;;;;;;0,0712;0,1090452;;;817;Quarter-hourly average price final;;;90.12;2025-12-02T06:00:00+01:00;;;71.2;71,2;;;
;;2025120207;;;;;;;0,085;0,1214719;;;817;Quarter-hourly average price final;;;100.39;2025-12-02T07:00:00+01:00;;;85;85,00;;;
;;2025120208;;;;;;;0,09507;0,1344552;;;817;Quarter-hourly average price final;;;111.12;2025-12-02T08:00:00+01:00;;;95.07;95,07;;;
;;2025120209;;;;;;;0,0963;0,128986;;;817;Quarter-hourly average price final;;;106.6;2025-12-02T09:00:00+01:00;;;96.3;96,3;;;
;;2025120210;;;;;;;0,09063;0,1136311;;;817;Quarter-hourly average price final;;;93.91;2025-12-02T10:00:00+01:00;;;90.63;90,63;;;
;;2025120211;;;;;;;0,086;0,112288;;;817;Quarter-hourly average price final;;;92.8;2025-12-02T11:00:00+01:00;;;86;86,00;;;
;;2025120212;;;;;;;0,08254;0,1110417;;;817;Quarter-hourly average price final;;;91.77;2025-12-02T12:00:00+01:00;;;82.54;82,54;;;
;;2025120213;;;;;;;0,07813;0,1040237;;;817;Quarter-hourly average price final;;;85.97;2025-12-02T13:00:00+01:00;;;78.13;78,13;;;
;;2025120214;;;;;;;0,071;0,1022329;;;817;Quarter-hourly average price final;;;84.49;2025-12-02T14:00:00+01:00;;;71;71,00;;;
;;2025120215;;;;;;;0,07635;0,1123001;;;817;Quarter-hourly average price final;;;92.81;2025-12-02T15:00:00+01:00;;;76.35;76,35;;;
;;2025120216;;;;;;;0,08053;0,117128;;;817;Quarter-hourly average price final;;;96.8;2025-12-02T16:00:00+01:00;;;80.53;80,53;;;
;;2025120217;;;;;;;0,09558;0,1532465;;;817;Quarter-hourly average price final;;;126.65;2025-12-02T17:00:00+01:00;;;95.58;95,58;;;
;;2025120218;;;;;;;0,10963;0,1732236;;;817;Quarter-hourly average price final;;;143.16;2025-12-02T18:00:00+01:00;;;109.63;109,63;;;
;;2025120219;;;;;;;0,12725;0,1713844;;;817;Quarter-hourly average price final;;;141.64;2025-12-02T19:00:00+01:00;;;127.25;127,25;;;
;;2025120220;;;;;;;0,12382;0,1641244;;;817;Quarter-hourly average price final;;;135.64;2025-12-02T20:00:00+01:00;;;123.82;123,82;;;
;;2025120221;;;;;;;0,11316;0,143264;;;817;Quarter-hourly average price final;;;118.4;2025-12-02T21:00:00+01:00;;;113.16;113,16;;;
;;2025120222;;;;;;;0,09798;0,1256948;;;817;Quarter-hourly average price final;;;103.88;2025-12-02T22:00:00+01:00;;;97.98;97,98;;;
;;2025120223;;;;;;;0,09507;0,1128446;;;817;Quarter-hourly average price final;;;93.26;2025-12-02T23:00:00+01:00;;;95.07;95,07;;;
;;2025120300;;;;;;;0,09207;0,1142966;;;817;Quarter-hourly average price final;;;94.46;2025-12-03T00:00:00+01:00;;;92.07;92,07;;;
;;2025120301;;;;;;;0,08121;0,1086459;;;817;Quarter-hourly average price final;;;89.79;2025-12-03T01:00:00+01:00;;;81.21;81,21;;;
;;2025120302;;;;;;;0,07874;0,1020272;;;817;Quarter-hourly average price final;;;84.32;2025-12-03T02:00:00+01:00;;;78.74;78,74;;;
;;2025120303;;;;;;;0,07027;0,0967758;;;817;Quarter-hourly average price final;;;79.98;2025-12-03T03:00:00+01:00;;;70.27;70,27;;;
;;2025120304;;;;;;;0,06724;0,096679;;;817;Quarter-hourly average price final;;;79.9;2025-12-03T04:00:00+01:00;;;67.24;67,24;;;
;;2025120305;;;;;;;0,07015;0,1000307;;;817;Quarter-hourly average price final;;;82.67;2025-12-03T05:00:00+01:00;;;70.15;70,15;;;
;;2025120306;;;;;;;0,07134;0,1050522;;;817;Quarter-hourly average price final;;;86.82;2025-12-03T06:00:00+01:00;;;71.34;71,34;;;
